org,count,category,code_id,code_display,concept_id,concept_name,vocab
XXX,20,진단검사,L7077^^02,Direct Coombs' test(Polyspecific),1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,LOINC
XXX,9,진단검사,L7077^^01,Direct Coombs' test (Polyspecific),1007-4,Direct antiglobulin test.polyspecific reagent [Presence] on Red Blood Cells,LOINC
XXX,248,진단검사,L3301^^01,"Glucose, fasting",1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,LOINC
XXX,132,진단검사,L3301^^02,"Glucose, fasting",1558-6,Fasting glucose [Mass/volume] in Serum or Plasma,LOINC
YYY,3,진단검사,L7110^^02,"Acid phosphatase, 이원",1715-2,Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,10323,진단검사,L3015^^02,ALT,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC
YYY,1122,진단검사,L3015^^01,Alanine Aminotransferase,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC
ZZZ,2,진단검사,L3531^^01,"Albumin, CSF",1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,LOINC
XXX,1,진단검사,L3531^^02,CSF Albumin,1746-7,Albumin [Mass/volume] in Cerebral spinal fluid,LOINC
XXX,3,진단검사,L3185^^02,"Albumin, other fluid",1747-5,Albumin [Mass/volume] in Body fluid,LOINC
XXX,146,진단검사,L3168^^02,"Albumin, pleural fluid",1748-3,Albumin [Mass/volume] in Pleural fluid,LOINC
XXX,37,진단검사,L3168^^01,"Albumin, pleural fluid",1748-3,Albumin [Mass/volume] in Pleural fluid,LOINC
YYY,67,진단검사,L3176^^02,"Albumin, ascitic fluid",1749-1,Albumin [Mass/volume] in Peritoneal fluid,LOINC
YYY,12,진단검사,L3176^^01,"Albumin, ascitic fluid",1749-1,Albumin [Mass/volume] in Peritoneal fluid,LOINC
